tpep_pickup_datetime,revenue,total_distance,total_duration_minutes,total_passengers,total_tips,total_fare_revenue,total_trips,duration_p50,duration_p95,speed_p50,avg_trip_price,avg_distance,avg_duration_minutes,avg_tip,avg_speed_mph,avg_tip_pct,revenue_index_100,trips_index_100
2022-06-26,12060027.57,2008066.51,8861816.966666667,792818.0,1532668.5,8278653.72,540236,12.583333333333334,43.63333333333333,10.605074846512913,22.323628136592156,3.7170172109966755,16.403603178364023,2.8370351105813016,13.595856363677473,18.51349931809927,652.2815284559006,643.0615402928223
2022-07-03,10388062.280000001,1783139.01,7358615.566666666,707687.0,1293768.5,7110506.83,479220,12.233333333333333,42.833333333333336,10.421052631578949,21.677021576728855,3.7209194315763114,15.355401624862623,2.6997381161053378,14.539194177317784,18.195165702414492,561.8512148802233,570.4320914176884
2022-07-10,9523518.21,1686206.74,6540671.183333334,665600.0,1177274.59,6521029.25,443747,11.533333333333333,38.43333333333333,11.520000000000001,21.461594579794344,3.799928202331509,14.739640343108423,2.6530310965482586,15.468199144118927,18.05350880767787,515.0912780455942,528.207356267111
2022-07-17,11132961.48,1902328.86,7944297.216666667,758528.0,1414931.6199999999,7586689.12,514169,12.15,39.833333333333336,10.8,21.652338978040294,3.6998124352109913,15.450751050076272,2.7518804517580793,14.367505203675107,18.650185840223276,602.1400107309262,612.033091298655
2022-07-24,10900569.790000001,1851278.65,7860090.3,751391.0,1365730.7,7443100.7,508040,12.133333333333333,39.916666666666664,10.718685831622176,21.456125088575703,3.6439623848515863,15.471400480277143,2.68823458782773,14.131735738455829,18.348948308599397,589.5708183411239,604.7375312462802
2022-07-31,10768313.889999999,1842157.6,7699079.05,740291.0,1357978.6500000001,7349224.06,499761,12.15,39.666666666666664,10.805232834515412,21.546927211206956,3.6860771448752505,15.405521939487075,2.717256148438954,14.356191861674677,18.47785070795624,582.4175941798534,594.882752053327
2022-08-07,10532061.09,1805192.23,7481161.316666666,733697.0,1320375.5999999999,7183771.46,493629,11.883333333333333,39.15,10.905537459283389,21.335985304753166,3.6569817210901303,15.15543316269236,2.6748339339868603,14.477903792650695,18.379977806253876,569.6395688734001,587.5836209975004
2022-08-14,10711867.58,1839114.36,7681346.666666667,740317.0,1340210.88,7318352.32,497161,12.05,40.38333333333333,10.905335628227194,21.546073766848163,3.6992329647739868,15.450420822764993,2.695728104175508,14.365561976111827,18.31301393262247,579.3646255901228,591.787882394953
2022-08-21,10430883.32,1818478.32,7412991.45,712073.0,1290936.05,7152818.06,478735,12.083333333333334,40.55,11.04,21.788428504287342,3.7985071490490565,15.484540403354675,2.696556654516591,14.71857885388496,18.047936340212186,564.1672438659905,569.8547791929532
2022-08-28,10594917.58,1848909.61,7486233.083333333,721146.0,1311807.95,7259939.67,486766,12.0,40.5,10.979419009485408,21.765935952798674,3.798354055131213,15.379531609301662,2.69494572340714,14.818477512672514,18.06913018052669,573.0392399879639,579.414355433877
2022-09-04,10579249.24,1868029.3199999998,7550932.05,715126.0,1302820.31,7277465.05,477627,12.166666666666666,42.333333333333336,11.357933579335793,22.14960469152707,3.9110630680426355,15.809265493784899,2.7276940164605437,14.843433692400927,17.902117029060825,572.1917984125408,568.5358885846923
2022-09-11,11777521.91,1997804.32,8940636.016666668,758412.0,1498044.56,8118644.63,517868,13.283333333333333,45.35,10.213660245183888,22.74232412506662,3.8577481520387438,17.2643144906939,2.89271505480161,13.407128863824436,18.451904576096716,637.0018599283896,616.4361385549339
2022-09-18,10082243.64,1641651.31,7888613.45,632976.0,1307480.14,6882102.05,447333,13.533333333333333,47.13333333333333,9.677943166441137,22.53856442515978,3.6698640833562473,17.63476749982675,2.922834085569363,12.486234650019517,18.998267251791187,545.3106349543762,532.4758957266992
2022-09-25,11937418.87,1968946.45,9369315.683333334,735151.0,1543611.14,8245685.45,511484,13.55,50.666666666666664,10.056930651691005,23.33879235714118,3.849478087291098,18.31790570835712,3.0179069922030797,12.608902399366087,18.720228286176013,645.6500850554779,608.8370432091418
